,lines,name
0,now instead of the cops only lookin' at nicky they started looking at green too and he was supposed to be our squeaky i'm a little in shock quite frankly, casino 
1,was gonna stop what came up next at the casino it's like everything else in this place you don't do it yourself it never gets done, casino 
2,look at yours phil i can understand you're in the finances you're upstairs but you are not on the floor i got thousands of players i got five hundred dealers they're all lookin' to rob me blind twenty four hours a day i have to let them know i'm watching all the details all the time that there is not one single thing i will not catch as i am over here, casino 
3,i mean the guy is history as far as i'm concerned history he did what he was told, casino 
4,i was in the building you were in the m you were in the building, casino 
5,you were wandering around was i at that dinner, casino 
6,he's lying mr rothstein is being very typical to this point, casino 
7,that's right you were never my guest, casino 
8,hello senator hi ace, casino 
9,they ain't sendin' nicky nowhere i don't know he doesn't listen to me maybe he should get lost for a while take a vacation would that be so bad, casino 
10,walk away andy you can't be serious how can i walk away don't you see what's goin' on here don't you see what's at stake these guys back home don't give a fuck about the supreme court and any of this bullshit they want things to quiet down they want you to walk away from, casino 
11,nobody's gonna interfere with your running the casino i guarantee it i'm serious no interference, casino 
12,but what happens when they do find out you don't have to have a license to work in a casino all you gotta do is apply for one the state law says you can work in a casino while they're processing your application they got a ten year backlog, casino 
13,he even played golf with the president philip if you would rise, casino 
14,speeding look look you can't stop her for speeding i mean look what the hell she's doing, casino 
15,stop all right take care, casino 
16,oh good not bad not bad in fact uh my wife's pregnant again, casino 
17,i will let her in the house for five minutes if you gentlemen will escort her out if she happens not to want to leave because i don't i no you're not calm, casino 
18,watch it partner watch it stupid things, casino 
19,you got it schmuck all right i just bought us a few minutes want to get back at this prick right back, casino 
20,702 472 1862 so l l l listen i te i te i tell you can i call you back in a few minutes, casino 
21,i know she's there don't fuck around with me listen to me very carefully i want to talk to ginger i want my kid back i want her put on a plane immediately, casino 
22,yeah is this lester this is sam hello, casino 
23,hey that's just fuckin' that's bullshit you know you know what the fuck you fuckin' piece of shit, casino 
24,she's my wife look at me you did know that didn't you you knew that she's my wife huh hey look at me he was a moocher a card cheat a country club golf hustler a scumbag chasing dentists for a few bucks, casino 
25,well no tha that's good it's just unusual to tell you the truth so many of my clients don't, casino 
26,so once she signs those papers she'll be the only person to have total access to the box no one else including myself now this is just a signature card, casino 
27,i don't know when did this happen honey, casino 
28,what happened what happened who did this to you dad, casino 
29,help daddy hello hello ginger, casino 
30,yeah nicky i want to talk to that fuckin' bitch she didn't know who to turn to she she didn't know where to turn she was tryin' to save your marriage, casino 
31,yeah she's here she's there with you she's there with you, casino 
32,uh you know i just wanted to talk to you a minute well, casino 
33,nick it's me, casino 
34,well once you get her here you think about it you know but get the kid back here she wants to come back that's the uh that's the main thing here you want your kid don't you huh she's driving me fuckin' crazy, casino 
35,yeah she's with that cocksucker again and they got amy she was afraid to call you, casino 
36,ginger called me i'm gonna okay you ten and get you even and that's it then you got to get out of here before the cops and the newspapers are all over you, casino 
37,what are you doin' you gotta get out of here get this through your head you jew motherfucker you you only exist out here because of me that's the only reason without me you personally every fuckin' wiseguy skell skell the lowest form of wiseguy a drunken bum around'll take a piece of your fuckin' jew ass then where you gonna go you're fuckin' warned don't ever go over my fuckin' head again you motherfucker you, casino 
38,back no it it nicky when you asked me if you could come out here what did i tell you i mean you asked me and i knew you were going to come out no matter what i said but what did i tell you do you remember what i told, casino 
39,yeah i did want to go on tv that way i have a forum i can fight back i'm known people see me they know they can't fuck around with me like they could if i was an unknown that's right your fuckin' ass you could have had the food and beverage job without goin' on television you wanted to go on tv, casino 
40,i'm what counts out here not your fuckin' country clubs or your fuckin' tv shows and what the fuck are you doin' on tv anyhow i, casino 
41,i didn't do anything i mean i didn't order you or anybody i only told andy stone that you had a lot of heat on you and that was a problem no you said i'm bringin' heat on you i gotta listen to people because of your fuckin' shit you're ordering me out you better get your own fuckin' army pal, casino 
42,where the fuck you get off talkin' to people about me behind my back goin' over my head don't ask questions just be there, casino 
43,what what caesar's meet me at three, casino 
44,on the line and this guy's out havin' the time of his life he has every cop in the state watchin' him and he's out playin' golf the problem was nicky was not only bringin' heat on himself but on me too the fbi watched every move he made but he didn't care he just didn't care, casino 
45,nicky was questioned in two dozen murders but they always had to let him go there were never any witnesses nicky wanted to take over he wanted to go after gaggi go after the skim go after everything and everybody, casino 
46,this guy is gonna run to the fbi yeah that's right the way you need me to vouch for you as a citizen and get you out of one of your jams i'm gonna have to straighten out what you just did with this guy, casino 
47,ju just stay away from her it's none of your business okay there are certain things you don't do and you know that and i what was i supposed to do throw her out, casino 
48,to me please, casino 
49,listen i would no i didn't what good would that do that's not the fuckin' point, casino 
50,yeah my wife, casino 
51,all right a fuckin' pink robe and a fuckin', casino 
52,i lost control you lost your control, casino 
53,every time you're on television i get mentioned that looks bad that looks bad yeah, casino 
54,yeah that's out of context okay that's all taken out of context okay, casino 
55,i don't wanna be involved in anything you're talkin' about all right fine, casino 
56,you should say so no i don't wanna come, casino 
57,i'm not tryin' to tell you what to do but you were way out of line nick what're you doin' where's your head fuck the fbi that prick's been dodging me for three weeks and what is it with you all of a sudden you're tryin' to tell me what to do all the time, casino 
58,hey ace well it's okay i'll use the service entrance i'll see you at nine, casino 
59,listen hello, casino 
60,yeah nicky loved restaurants he was a real restaurant buff and over the years he always made money with them i gotta do somethin' i gotta do somethin' they ain't gettin' rid of me they're not gettin' rid of me i'm staying here fuck 'em fuck 'em, casino 
61,forget it you can't even set foot in the parking lot that's how serious it is let's say for instance i want to go in the restaurant which happens to be in the casino to get one of those sandwiches i like, casino 
62,' detrimental to gaming and he will be ejected from any casino in las vegas and the casinos can be fined as much as a hundred thousand every time he shows up ' do you believe this shit what the fuck is that supposed to mean, casino 
63,what am i doin' out here i'm tryin' to make a livin' that's all bullshit or no bullshit they put you in that book you're gonna be in a lot of trouble you will not be able to walk into the casino i'm tellin' you, casino 
64,you better watch yourself there's a lot of heat on you already between, casino 
65,thanks pal okay, casino 
66,what ho hey come here so what do you think i do i threw that cocksucker out, casino 
67,he insulted billy and then i walked over to him politely no, casino 
68,be careful gaming agents are all over the place i mean nicky's a made guy and i'm not i can't do that, casino 
69,the next thing i did i started bustin' out high stakes poker players to begin i put money out on the streets chargin' three points a week you know juice to the fuckin' dealers, casino 
70,me that's why the bosses sent me out here they wanted me to make sure none of the other crews robbed the joint like these two fuckin' balloon heads over here eddy and jerry they were gonna try and bang us out of two hundred fuckin' grand yeah right i'm sure especially at the casino where he definitely did not work people got the message, casino 
71,but i saw it another i saw it as untouched i mean they had bookies pimps and drug dealers i could shake down who the fuck were they gonna run to so i started getting everybody in line best of all for the first time in my life i figured out a way not to lose don't worry about it i'm not gonna do anything what am i gonna do i'm especially not gonna involve you in anything, casino 
72,you mean i have your permission no of course not, casino 
73,holy shit what've you been doin' out here ginger, casino 
74,hey nobody interfered with the fuckin' skim, casino 
75,listen while i was tryin' to figure out why the guy was sayin' what he was sayin' nicky just hit him no matter how big a guy might be nicky would take him on you beat nicky with fists he comes back with a bat you beat him with a knife he comes back with a gun and you beat him with a gun you better kill him because he'll keep comin' back and back until one of you is dead, casino 
76,eight it was eight ace tell him the line on the bear's game, casino 
77,if his girlfriend was knocked up i'll take columbia for twenty, casino 
78,you know havin' some fun with it shit like that you know i don't know if i could do this even if i wanted to the gaming commission would never give me a license i have at least two dozen gambling and bookmaking pinches on me, casino 
79,matter of fact by the only kind of guys that can actually get you that kind of money sixty two million seven hundred thousand dollars i don't know all the details, casino 
80,okay thanks um you know that's it i'm sorry i'm sorry i can't do anything he's too incompetent and the bottom line is he cannot be trusted, casino 
81,i think you're way out of line talkin' to me like that what you're sayin' is libelous and you're in no position to challenge my expertise i went way out of my way to be very helpful and courteous to that kid he's weak he's incompetent he jeopardizes the whole place there's not much more i can do for him are uh are we certain that you want the gamin' control board eyeballin' your record and your gangster pals like nicky santoro, casino 
82,uh i come here personally to kind of smooth over a fracas about a certain matter see uh maybe you didn't know it but uh don ward is a very well liked man in this town he's got lots of friends here now his family and their money go back many many years now friends vote family and money votes that's important to me and you and if you'll think about our little problem along them lines and you forgive me for sayin' it maybe he did not deserve to be fired no that's quite all right, casino 
83,hey it is my pleasure how do you do, casino 
84,i'll come by okay you come by the house, casino 
85,son of a bitch how the hell did you get oklahoma michigan nobody ever had oklahoma mi how the hell'd you do it hello jennifer it's sam, casino 
86,as soon as andy got back home nicky heard about our talk in the car you know i don't feel like playin' tennis, casino 
87,i mean that's what worried me 'cause it turns out nicky was about to be sent to vegas come on there we go look at that beautiful, casino 
88,they were ready to blame him for anything no matter where it happened oh yes will you help me fold these please, casino 
89,no ace legally she can't take that stuff legally she can't take the stuff, casino 
90,i i'm sorry sam charlie you've gotta you've gotta stop her, casino 
91,it's always been our policy that's right she will get fired in fact i want you to send her back to paris, casino 
92,she could at least lose half a pound or a quarter listen mr rothstein well sometimes when you reach that pressure point when you put that pressure point on them you know it shows, casino 
93,trying to offer you the respect that your why is she eight pounds over, casino 
94,okay i i'll do it, casino 
95,who's this yeah billy sherbert please put him on, casino 
96,oh no now he's really pissed, casino 
97,here we go good luck l'chaim yiddish for 'to life', casino 
98,call security fuckin' asshole won't budge, casino 
99,help the senator give him whatever he wants nice to see you senator, casino 
100,we can't get rid of him we need this guy, casino 
101,they had all the pieces they needed but it was just mine, casino 
102,if she calms down i will let her in the house you ought to be afraid the way you fuckin' treat me, casino 
103,oh you are i'm afraid to let her in the house, casino 
104,i won't let her in i'm sorry randy i'm not gonna let her in she well i'm not gonna let her in the way she's behaving i'm i'm i'm not, casino 
105,don't you threaten me you're gonna be sorry if you don't stop that, casino 
106,get down here and talk to me goddamn it don't fuckin' ignore me you motherfucker just wait there for me, casino 
107,you make me sick you fuck once a fuckin' hooker always a hooker so what so who fuckin' blew you in the parking lot before you came in huh, casino 
108,get up get going get up i wouldn't do that, casino 
109,and what and let you disgrace me you fuckin' pig and let you disgrace me get up get up and be a mother get in the car and go to the house i want you to let me go, casino 
110,i'll sign anything you want me to sign okay you fuckin' whore, casino 
111,let me tell you something listen to me fuck you, casino 
112,i mean she was asleep i was going to be right back before she even woke up i should have, casino 
113,you out of your mind that's our child are you out of your fuckin' mind oh, casino 
114,i mean it could get us both killed what if he won't stop, casino 
115,who were you with all right i didn't have lunch with jennifer, casino 
116,why do you want to do that okay i want you to call jennifer and i want you to tell her to tell you what she had for lunch and i'm gonna listen in on the other line, casino 
117,what'd you have to the riviera, casino 
118,oscar wants you to call him oh i got your cigarettes, casino 
119,i threw it away hi you didn't answer your beeper, casino 
120,i am i'm wakin' her up right now you're not takin' amy, casino 
121,and don't send your guys down there to stop me i mean it yeah no kidding good it opens at 9 a m be there, casino 
122,you're lower than a dog i'll get your cash you haven't been straight with me ever since i met you you never loved me in the first place i need eyes in the back of my fuckin' head with you you fuckin' bitch, casino 
123,i'll go but i want my money right now take your fuckin' bag and get out of here, casino 
124,get off of me stop it you hate my guts i want you to come with me now, casino 
125,would you knock it off sam plus at the most three suits a thousand apiece that still leaves what around ten thousand, casino 
126,yeah yeah, casino 
127,mm hm mm hm, casino 
128,he needed some clothes with the money, casino 
129,okay okay no big deal that's okay yeah he got his twenty five that i'll live with any more i couldn't, casino 
130,yeah twenty five thousand, casino 
131,pretty serious under, casino 
132,what about the money uh where's the box i under understand that i i know i fucked up, casino 
133,what do you mean do you i mean i don't think she should go by herself, casino 
134,hi it's me just who you wanted to talk to right hello, casino 
135,we had a deal remember that he said if it didn't work out between us that i could get my things and i could leave i mean she's only sober about two hours a day it's usually from eleven in the morning until one in the afternoon and if i gave her her money and her jewels now you know what she's gonna do she's gonna piss it all away in about a year and then where will she be where would you be then comin' right back to me right back to me or finding some other excuse to come and i i, casino 
136,you see if a phone's tapped the feds can only listen in oh god oh god okay okay i'll try i'll try, casino 
137,that's all you care about you don't care about me at all yes you do it's very discreet there's no names in the papers you don't have to worry about any of that stuff, casino 
138,if not for me at least for amy okay, casino 
139,i said you can't make me stop caring about people what what, casino 
