,lines,name
0,now instead of the cops only lookin' at nicky they started looking at green too and he was supposed to be our squeaky i'm a little in shock quite frankly, casino 
1,why are you doing this to me it turned out phil green mr integrity had a partner nobody knew about and when she showed up and started demanding some money from the tangiers, casino 
2,i can't believe you're doing this was gonna stop what came up next at the casino, casino 
3,it's like everything else in this place you don't do it yourself it never gets done what are you talking about, casino 
4,look at that look at this there's nothin' look how many blueberries your muffin has and how many mine has yours is falling apart i have nothing what, casino 
5,look at yours phil i can understand you're in the finances you're upstairs but you are not on the floor i got thousands of players i got five hundred dealers they're all lookin' to rob me blind twenty four hours a day i have to let them know i'm watching all the details all the time that there is not one single thing i will not catch as i am over here, casino 
6,this is his state his uncle's chief judge his brother in law runs the county commission i don't know how many other relatives he's got in town there's gotta be a way to work him back in so what everybody out here with cowboy boots is a fuckin' county commissioner or related to a county commissioner i'm fuckin' sick of it, casino 
7,but you can't just fire him webb's his brother in law he's county commissioner i mean the guy is history as far as i'm concerned history, casino 
8,he did what he was told thank you, casino 
9,yes you were you know damn well i was at that dinner and you swore to me that i would have a fair hearing at that dinner did you not did you not well tell me i was at least at the dinner a allow me that much give me that much at least, casino 
10,i was in the building you were in the m you were in the building, casino 
11,was i at that dinner you were wandering around, casino 
12,was i at that dinner you were wandering around, casino 
13,was i at that dinner you were wandering around, casino 
14,was i at that dinner just tell me the only time i was at the tangiers was when i had dinner with barney greenstein, casino 
15,he's lying mr rothstein is being very typical to this point, casino 
16,liar uh i i'd i'd like to answer answer that at this time, casino 
17,i never comped you i don't comp you at least two or three times a month at the tangiers that's right, casino 
18,you were never my guest i was never i was never your guest at the tangiers, casino 
19,good to see ya william would you hey i need a room need a room, casino 
20,hello senator hi ace, casino 
21,i can't do that i would forget about the maneuver i would just get out, casino 
22,all right look if he took a break it would just give everybody some time to maneuver that's all i'm saying it's all that i'm saying they ain't sendin' nicky nowhere, casino 
23,i don't know he doesn't listen to me maybe he should get lost for a while take a vacation would that be so bad what do you propose, casino 
24,know what my problem is every time they mention my name in the papers these cocksuckers they mention nicky too how the fuck does that help i mean the heat he brought down is murder we had a police department who was cooperative he's pissed them off so much now that nobody can make a move anymore i mean what do you do about that the old man said 'maybe your friend should give in ' and when the old man says 'maybe' that's like a papal bull not only should you quit you should run, casino 
25,walk away andy you can't be serious how can i walk away don't you see what's goin' on here don't you see what's at stake these guys back home don't give a fuck about the supreme court and any of this bullshit they want things to quiet down they want you to walk away from, casino 
26,first of all what they did was totally unconstitutional we're already on the list to be heard before the supreme court of the united states later this year it's a pity in this, casino 
27,he's on all night screamin' about how he's gonna take his damn lawsuit all the way to the supreme court he really must be crazy he's gonna go to washington with this he's out of his fuckin' mind nobody's gonna interfere with your running the casino i guarantee it, casino 
28,i'm serious no interference you got it, casino 
29,it's a tough proposition andy you you know if i did it i'd have to run it my way why would they want to find out we're puttin' a hundred million into this desert here why would they want to lock us out and besides they'll never find out all you gotta do is keep changing your job title like uh from casino executive to food and beverage chairman and what happens it they take your application they put it at the bottom of the pile i know guys workin' there for thirty years don't have a license, casino 
30,but what happens when they do find out you don't have to have a license to work in a casino all you gotta do is apply for one the state law says you can work in a casino while they're processing your application they got a ten year backlog, casino 
31,this check for 62 700 000 for the new tangiers but andy also took orders and when he was told to give a pension fund loan to philip green, casino 
32,on behalf of the teamsters' pension fund it is my pleasure to present to you he even played golf with the president, casino 
33,philip if you would rise a powerful man, casino 
34,this is a very auspicious occasion as far as the world was concerned andy stone the head of the teamsters' pension fund was a legitimate guy, casino 
35,speeding look look you can't stop her for speeding i mean look what the hell she's doing, casino 
36,hold on a second hey, casino 
37,wait hold on a second stop, casino 
38,all right take care okay randy thank you, casino 
39,congratulations yeah, casino 
40,oh good not bad not bad in fact uh my wife's pregnant again, casino 
41,fine fine how's your family no it's it'll just be a couple of minutes we got other things to do too you know he'll hurry her up how's everything else besides this, casino 
42,yeah i don't want her in there more than a few more minutes i will let her in the house for five minutes if you gentlemen will escort her out if she happens not to want to leave because i don't i, casino 
43,no you're not calm jesus christ what gun he's got a fuckin' hero sandwich here, casino 
44,been right but who knows the worst was blue, casino 
45,watch it partner watch it stupid things, casino 
46,i mean frank marino was there to meet him but so were the cops this time they wanted to pinch him for some diamond burglary in antwerp excuse me, casino 
47,even after a little vacation they hassled him at the airport you got it schmuck all right i just bought us a few minutes want to get back at this prick, casino 
48,right back i'll call you right back, casino 
49,right away mm hm 1862 okay good i'll call you right b, casino 
50,702 472 1862 so l l l listen i te i te i tell you can i call you back in a few minutes, casino 
51,sam i i don't know where she is okay you understand put her on the fuckin' phone, casino 
52,uh i'm not sam i wouldn't i know she's there don't fuck around with me, casino 
53,listen to me very carefully i want to talk to ginger i want my kid back i want her put on a plane immediately lester, casino 
54,she's not here sam rothstein i want to talk to ginger put her on the phone, casino 
55,yeah is this lester this is sam hello, casino 
56,hello hey little dale evans, casino 
57,m uh mr and mrs rothstein hey that's just fuckin' that's bullshit you know you know what the fuck, casino 
58,you fuckin' piece of shit okay, casino 
59,you do yeah well if you ever come back again ever to take her money next time bring a pistol that way you got a chance be a man don't be a fuckin' pimp now you want to do me a favor get out of here i want to be alone with my wife get the fuck up and get out of here yeah yeah i know that, casino 
60,she's my wife look at me you did know that didn't you you knew that she's my wife huh hey look at me he was a moocher a card cheat a country club golf hustler a scumbag chasing dentists for a few bucks, casino 
61,yeah look gin you know i got other people in this i got partners but i want you to understand that i am lookin' out for you in this thing okay you're going to get yours back and you're gonna get it back first okay, casino 
62,but one thing i could never understand was that she could have everything under control except for her old pimp boyfriend lester diamond well, casino 
63,no tha that's good it's just unusual to tell you the truth so many of my clients don't yeah sure i do why, casino 
64,sam let me ask you a question you must really trust your wife that's right, casino 
65,so once she signs those papers she'll be the only person to have total access to the box no one else including myself now this is just a signature card, casino 
66,ohhh i don't know, casino 
67,you don't know what time did your mother do this when did she leave i don't know, casino 
68,when did this happen honey oh no please please, casino 
69,i'm gonna get a knife and cut you loose honey i'll mommy, casino 
70,what happened what happened who did this to you dad, casino 
71,wh wh i can't i'm tied, casino 
72,amy amy open the door help daddy, casino 
