,lines,name
0,now instead of the cops only lookin' at nicky they started looking at green too and he was supposed to be our squeaky, casino 
1,i'm a little in shock quite frankly, casino 
2,why are you doing this to me, casino 
3,it turned out phil green mr integrity had a partner nobody knew about and when she showed up and started demanding some money from the tangiers, casino 
4,i can't believe you're doing this, casino 
5,was gonna stop what came up next at the casino, casino 
6,it's like everything else in this place you don't do it yourself it never gets done, casino 
7,what are you talking about, casino 
8,look at that look at this there's nothin' look how many blueberries your muffin has and how many mine has yours is falling apart i have nothing, casino 
9,what, casino 
10,look at yours, casino 
11,phil i can understand you're in the finances you're upstairs but you are not on the floor i got thousands of players i got five hundred dealers they're all lookin' to rob me blind twenty four hours a day i have to let them know i'm watching all the details all the time that there is not one single thing i will not catch as i am over here, casino 
12,this is his state his uncle's chief judge his brother in law runs the county commission i don't know how many other relatives he's got in town there's gotta be a way to work him back in, casino 
13,so what everybody out here with cowboy boots is a fuckin' county commissioner or related to a county commissioner i'm fuckin' sick of it, casino 
14,but you can't just fire him webb's his brother in law he's county commissioner, casino 
15,i mean the guy is history as far as i'm concerned history, casino 
16,he did what he was told, casino 
17,thank you, casino 
18,yes you were, casino 
19,you know damn well i was at that dinner and you swore to me that i would have a fair hearing at that dinner did you not did you not well tell me i was at least at the dinner a allow me that much give me that much at least, casino 
20,i was in the building, casino 
21,you were in the m you were in the building, casino 
22,was i at that dinner, casino 
23,you were wandering around, casino 
24,was i at that dinner, casino 
25,you were wandering around, casino 
26,was i at that dinner, casino 
27,you were wandering around, casino 
28,was i at that dinner just tell me, casino 
29,the only time i was at the tangiers was when i had dinner with barney greenstein, casino 
30,he's lying, casino 
31,mr rothstein is being very typical to this point, casino 
32,liar, casino 
33,uh i i'd i'd like to answer answer that at this time, casino 
34,i never comped you i don't comp you at least two or three times a month at the tangiers, casino 
35,that's right, casino 
36,you were never my guest, casino 
37,i was never i was never your guest at the tangiers, casino 
38,good to see ya william would you, casino 
39,hey i need a room need a room, casino 
40,hello senator, casino 
41,hi ace, casino 
42,i can't do that, casino 
