,lines,name
0,now instead of the cops only lookin' at nicky they started looking at green too and he was supposed to be our squeaky i'm a little in shock quite frankly, casino 
1,it turned out phil green mr integrity had a partner nobody knew about and when she showed up and started demanding some money from the tangiers i can't believe you're doing this, casino 
2,it's like everything else in this place you don't do it yourself it never gets done what are you talking about, casino 
3,what look at yours, casino 
4,this is his state his uncle's chief judge his brother in law runs the county commission i don't know how many other relatives he's got in town there's gotta be a way to work him back in so what everybody out here with cowboy boots is a fuckin' county commissioner or related to a county commissioner i'm fuckin' sick of it, casino 
5,i mean the guy is history as far as i'm concerned history he did what he was told, casino 
6,yes you were you know damn well i was at that dinner and you swore to me that i would have a fair hearing at that dinner did you not did you not well tell me i was at least at the dinner a allow me that much give me that much at least, casino 
7,you were in the m you were in the building was i at that dinner, casino 
8,was i at that dinner you were wandering around, casino 
9,you were wandering around was i at that dinner just tell me, casino 
10,he's lying mr rothstein is being very typical to this point, casino 
11,uh i i'd i'd like to answer answer that at this time i never comped you i don't comp you at least two or three times a month at the tangiers, casino 
12,you were never my guest i was never i was never your guest at the tangiers, casino 
13,hey i need a room need a room hello senator, casino 
14,i can't do that i would forget about the maneuver i would just get out, casino 
15,they ain't sendin' nicky nowhere i don't know he doesn't listen to me maybe he should get lost for a while take a vacation would that be so bad, casino 
16,know what my problem is every time they mention my name in the papers these cocksuckers they mention nicky too how the fuck does that help i mean the heat he brought down is murder we had a police department who was cooperative he's pissed them off so much now that nobody can make a move anymore i mean what do you do about that the old man said 'maybe your friend should give in ' and when the old man says 'maybe' that's like a papal bull not only should you quit you should run, casino 
17,these guys back home don't give a fuck about the supreme court and any of this bullshit they want things to quiet down they want you to walk away from first of all what they did was totally unconstitutional we're already on the list to be heard before the supreme court of the united states later this year, casino 
18,he's on all night screamin' about how he's gonna take his damn lawsuit all the way to the supreme court he really must be crazy he's gonna go to washington with this he's out of his fuckin' mind nobody's gonna interfere with your running the casino i guarantee it, casino 
19,you got it it's a tough proposition andy you you know if i did it i'd have to run it my way, casino 
20,but what happens when they do find out you don't have to have a license to work in a casino all you gotta do is apply for one the state law says you can work in a casino while they're processing your application they got a ten year backlog, casino 
21,but andy also took orders and when he was told to give a pension fund loan to philip green on behalf of the teamsters' pension fund it is my pleasure to present to you, casino 
22,philip if you would rise a powerful man, casino 
23,as far as the world was concerned andy stone the head of the teamsters' pension fund was a legitimate guy speeding, casino 
24,hold on a second hey, casino 
25,stop all right take care, casino 
26,congratulations yeah, casino 
27,not bad not bad in fact uh my wife's pregnant again fine fine how's your family, casino 
28,yeah i don't want her in there more than a few more minutes i will let her in the house for five minutes if you gentlemen will escort her out if she happens not to want to leave because i don't i, casino 
29,jesus christ what gun he's got a fuckin' hero sandwich here been right but who knows, casino 
30,watch it partner watch it stupid things, casino 
31,excuse me even after a little vacation they hassled him at the airport, casino 
32,right back i'll call you right back, casino 
33,mm hm 1862 okay good i'll call you right b 702 472 1862, casino 
34,sam i i don't know where she is okay you understand put her on the fuckin' phone, casino 
35,i know she's there don't fuck around with me listen to me very carefully i want to talk to ginger i want my kid back i want her put on a plane immediately, casino 
36,she's not here sam rothstein i want to talk to ginger put her on the phone, casino 
37,hello hello, casino 
38,m uh mr and mrs rothstein hey that's just fuckin' that's bullshit you know you know what the fuck, casino 
39,okay you do yeah well if you ever come back again ever to take her money next time bring a pistol that way you got a chance be a man don't be a fuckin' pimp now you want to do me a favor get out of here i want to be alone with my wife get the fuck up and get out of here, casino 
40,she's my wife look at me you did know that didn't you you knew that she's my wife huh hey look at me he was a moocher a card cheat a country club golf hustler a scumbag chasing dentists for a few bucks, casino 
41,look gin you know i got other people in this i got partners but i want you to understand that i am lookin' out for you in this thing okay you're going to get yours back and you're gonna get it back first okay but one thing i could never understand was that she could have everything under control except for her old pimp boyfriend lester diamond, casino 
42,no tha that's good it's just unusual to tell you the truth so many of my clients don't yeah sure i do why, casino 
43,that's right so once she signs those papers she'll be the only person to have total access to the box no one else including myself, casino 
44,ohhh i don't know, casino 
45,i don't know when did this happen honey, casino 
46,i'm gonna get a knife and cut you loose honey i'll mommy, casino 
47,dad wh wh, casino 
48,amy amy open the door help daddy, casino 
49,okay oh have a good day at school, casino 
50,yeah nicky i want to talk to that fuckin' bitch she didn't know who to turn to she she didn't know where to turn she was tryin' to save your marriage, casino 
51,ace don't listen don't don't make a scene all right i'll be right there, casino 
52,she's there with you she's there with you yeah well listen ginger's over here at the leaning tower with me, casino 
53,well uh you know i just wanted to talk to you a minute, casino 
54,how'd you know i was here no i'm not okay, casino 
55,nick it's me, casino 
56,sammy hello, casino 
57,she's driving me fuckin' crazy i think if you uh okay it you know assure her that she's gonna be all right she'll come back, casino 
58,i know why didn't you come to me i mean this is family it ain't business meanwhile you make calls back home sammy it makes us look bad out here you know what i mean back and forth this one and that one and in the meantime she's gone anyway am i right yeah she's with that cocksucker again and they got amy, casino 
59,and what'd she want i just told you she called me, casino 
60,ginger called me i'm gonna okay you ten and get you even and that's it then you got to get out of here before the cops and the newspapers are all over you, casino 
61,nicky nicky you're not listenin' to me i'm here to help you what's the matter with you you're gonna bury us both hey sammy tell this jew motherfucker over here to pay that marker, casino 
62,get this through your head you jew motherfucker you you only exist out here because of me that's the only reason without me you personally every fuckin' wiseguy skell skell the lowest form of wiseguy a drunken bum around'll take a piece of your fuckin' jew ass then where you gonna go you're fuckin' warned don't ever go over my fuckin' head again you motherfucker you you never, casino 
63,you do you remember what i told you back, casino 
64,oh sure now you want to blame your fuckin' license on me is that it me i wouldn't even be in this situation if it wasn't for you you brought down so much fuckin' heat on me i mean every time i meet somebody here the big question is do i know you, casino 
65,yeah i did want to go on tv that way i have a forum i can fight back i'm known people see me they know they can't fuck around with me like they could if i was an unknown that's right your fuckin' ass you could have had the food and beverage job without goin' on television you wanted to go on tv, casino 
66,you know i get calls from back home every fuckin' day they think you went batshit what are you, casino 
67,i oh i don't know whether you know this or not but you only have your fuckin' casino because i made that possible, casino 
68,you want me to get out of my own fuckin' town i didn't do anything i mean i didn't order you or anybody i only told andy stone that you had a lot of heat on you and that was a problem, casino 
69,i don't even know what you're talkin' about nick what people what'd you think i wasn't gonna find out, casino 
70,where the fuck you get off talkin' to people about me behind my back goin' over my head don't ask questions just be there, casino 
71,hundred yards further down the road no a, casino 
72,meet me at three yeah, casino 
73,practice enough this week you prick on the line and this guy's out havin' the time of his life he has every cop in the state watchin' him and he's out playin' golf, casino 
74,i see you you motherfuckers peekaboo you fucks you, casino 
75,nicky was questioned in two dozen murders but they always had to let him go there were never any witnesses nicky wanted to take over he wanted to go after gaggi go after the skim go after everything and everybody, casino 
76,i knew what he wanted and i didn't want any part of it your fuckin' head is getting' bigger than your casino that's your problem pal, casino 
77,yeah that's right the way you need me to vouch for you as a citizen and get you out of one of your jams i'm gonna have to straighten out what you just did with this guy a week ago it was my business now it's none of my business in other words when you need me to take care of somethin' for you then you need me, casino 
78,it's none of my business ju just stay away from her it's none of your business okay there are certain things you don't do and you know that, casino 
79,okay she came to talk to me, casino 
80,to me please, casino 
81,i i would appreciate it if you'd stay out of my personal life okay you wouldn't like it if i did it to you the point is that she's upset she's and you got a fuckin' problem, casino 
82,no i didn't what good would that do that's not the fuckin' point all of a sudden you're the shoulder to cry on did you at least tell her about your little role in that whole situation, casino 
83,now what does she have to do with all this yeah, casino 
84,you know i didn't want to bring this up but you have treating a lot of people with a lot of disrespect even your own wife yeah, casino 
85,all right a fuckin' pink robe and a fuckin', casino 
86,look at you you're fuckin' walkin' around like john barrymore yes you lost your control, casino 
87,you lost your control yeah, casino 
88,what the fuck happened to you will you tell me every time you're on television i get mentioned that looks bad that looks bad, casino 
89,looks bad i'm gonna tell you what looks bad well back home they don't know about fuckin' control that looks bad, casino 
90,yeah that's out of context okay that's all taken out of context okay, casino 
91,okay i just wanna run a square joint that's it i just want my license i want everything nice and quiet that's it fine, casino 
92,all right fine i'll be honest with you, casino 
93,i don't wanna come along with you you should say so, casino 
94,yeah forget about your fuckin' license i plant my own flag out here you ain't gonna need a fuckin' license you know i don't know what it is sammy but the more i talk to you the more i feel like you just don't wanna go along with me is that it listen nick you gotta understand my situation i'm responsible for thousands of people i got a hundred million a year goin' through the place it's all over i'm gonna tell you it's all over if i don't get that license and believe me if it goes bad for me it's gonna go bad for a lot of people you understand, casino 
95,i'm not tryin' to tell you what to do but you were way out of line nick what're you doin' where's your head fuck the fbi that prick's been dodging me for three weeks and what is it with you all of a sudden you're tryin' to tell me what to do all the time, casino 
96,you think he got the point hey, casino 
